,,,,,,,,,,,,,,,,,,,,,
,Sales Register of Anmol Pvt LTD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Order No.,Sale Date,Product ID,Customer ID,Salesperson ID,Quantity,Discount,City,Product Name,Product Category,Business Segment,Customer Name,Salesperson Name,Region,Day,Unit Cost,MRP,Revenue,Cost,Profit,Profit %
,1,1-Jan-23,P034,C024,3,14,  63 , Hyderabad ,,,,,,,,,,,,,
,2,1-Jan-23,P162,C072,1,4,  2 , Chennai ,,,,,,,,,,,,,
,3,1-Jan-23,P242,C073,6,1,  46 , Chennai ,,,,,,,,,,,,,
,4,1-Jan-23,P064,C130,5,10,  36 , Lucknow ,,,,,,,,,,,,,
,5,1-Jan-23,P088,C126,5,13,  36 , Pune ,,,,,,,,,,,,,
,6,1-Jan-23,P218,C024,3,9,  1 , Hyderabad ,,,,,,,,,,,,,
,7,1-Jan-23,P231,C025,2,2,  50 , Ahmedabad ,,,,,,,,,,,,,
,8,1-Jan-23,P208,C022,1,2,  36 , Bangalore ,,,,,,,,,,,,,
,9,1-Jan-23,P144,C066,4,7,  33 , Hyderabad ,,,,,,,,,,,,,
,10,1-Jan-23,P023,C064,2,11,  65 , Bhopal ,,,,,,,,,,,,,
,11,1-Jan-23,P214,C099,6,2,  59 , Chennai ,,,,,,,,,,,,,
,12,1-Jan-23,P074,C083,6,4,  54 , Kolkata ,,,,,,,,,,,,,
,13,1-Jan-23,P130,C004,1,10,  70 , Delhi ,,,,,,,,,,,,,
,14,1-Jan-23,P221,C135,6,4,  71 , Lucknow ,,,,,,,,,,,,,
,15,1-Jan-23,P159,C012,2,15,  2 , Pune ,,,,,,,,,,,,,
,16,1-Jan-23,P130,C118,2,10,  79 , Bhopal ,,,,,,,,,,,,,
,17,1-Jan-23,P200,C033,4,2,  14 , Bhopal ,,,,,,,,,,,,,
,18,1-Jan-23,P017,C002,1,8,  53 , Ahmedabad ,,,,,,,,,,,,,
,19,1-Jan-23,P049,C053,1,12,  11 , Chennai ,,,,,,,,,,,,,
,20,1-Jan-23,P128,C001,1,2,  25 , Delhi ,,,,,,,,,,,,,
